n_neighbors,min_cluster_size,topics,noise_pct,silhouette
10,50,48,40.93010788715406,0.6427865028381348
10,80,24,33.55893587080346,0.6180452704429626
10,120,19,38.06205186624673,0.6363329291343689
10,200,11,35.435234202238156,0.4588301181793213
10,300,9,47.14199557729679,0.6567195057868958
15,50,43,27.83622595992763,0.5877702832221985
15,80,29,33.33780071031293,0.6209009289741516
15,120,20,34.29605307243852,0.6356950998306274
15,200,14,31.11304697446894,0.5992143750190735
15,300,6,24.08362929705823,0.3707546889781952
30,50,38,21.302687127253233,0.5090726017951965
30,80,27,24.599611338202774,0.56376051902771
30,120,17,25.269717885143738,0.5311882495880127
30,200,12,28.34550693560276,0.5862948298454285
30,300,8,32.36614621724854,0.6130104660987854
50,50,35,20.45165181263821,0.5393996834754944
50,80,26,24.251155933793473,0.5976320505142212
50,120,19,23.346512095423172,0.5678537487983704
50,200,13,29.7661328151176,0.6242355704307556
50,300,8,30.737787308182003,0.5465863347053528
